key,value,date
Topic 8,0.165,07/11
Topic 8,0.178,10/11
Topic 8,0.156,01/12
Topic 8,0.196,04/12
Topic 8,0.2,07/12
Topic 8,0.183,10/12
Topic 8,0.153,01/13
Topic 8,0.145,04/13
Topic 8,0.146,07/13
Topic 8,0.157,10/13
Topic 8,0.162,01/14
Topic 8,0.171,04/14
Topic 8,0.154,07/14
Topic 8,0.154,10/14
Topic 8,0.148,01/15
Topic 8,0.18,04/15
Topic 8,0.158,07/15
Topic 8,0.162,10/15
Topic 8,0.149,01/16
Topic 8,0.164,04/16
Topic 8,0.145,07/16
Topic 8,0.178,10/16
Topic 8,0.178,01/17
Topic 7,0.08,07/11
Topic 7,0.093,10/11
Topic 7,0.09,01/12
Topic 7,0.072,04/12
Topic 7,0.07,07/12
Topic 7,0.079,10/12
Topic 7,0.068,01/13
Topic 7,0.08,04/13
Topic 7,0.099,07/13
Topic 7,0.078,10/13
Topic 7,0.074,01/14
Topic 7,0.05,04/14
Topic 7,0.073,07/14
Topic 7,0.063,10/14
Topic 7,0.063,01/15
Topic 7,0.074,04/15
Topic 7,0.079,07/15
Topic 7,0.078,10/15
Topic 7,0.092,01/16
Topic 7,0.08,04/16
Topic 7,0.056,07/16
Topic 7,0.075,10/16
Topic 7,0.075,01/17
Topic 6,0.028,07/11
Topic 6,0.032,10/11
Topic 6,0.041,01/12
Topic 6,0.047,04/12
Topic 6,0.045,07/12
Topic 6,0.052,10/12
Topic 6,0.051,01/13
Topic 6,0.034,04/13
Topic 6,0.049,07/13
Topic 6,0.044,10/13
Topic 6,0.061,01/14
Topic 6,0.073,04/14
Topic 6,0.076,07/14
Topic 6,0.097,10/14
Topic 6,0.106,01/15
Topic 6,0.056,04/15
Topic 6,0.039,07/15
Topic 6,0.055,10/15
Topic 6,0.034,01/16
Topic 6,0.028,04/16
Topic 6,0.022,07/16
Topic 6,0.025,10/16
Topic 6,0.025,01/17
Topic 5,0.162,07/11
Topic 5,0.13,10/11
Topic 5,0.143,01/12
Topic 5,0.138,04/12
Topic 5,0.132,07/12
Topic 5,0.149,10/12
Topic 5,0.141,01/13
Topic 5,0.104,04/13
Topic 5,0.132,07/13
Topic 5,0.182,10/13
Topic 5,0.139,01/14
Topic 5,0.125,04/14
Topic 5,0.114,07/14
Topic 5,0.121,10/14
Topic 5,0.122,01/15
Topic 5,0.124,04/15
Topic 5,0.133,07/15
Topic 5,0.113,10/15
Topic 5,0.149,01/16
Topic 5,0.129,04/16
Topic 5,0.143,07/16
Topic 5,0.116,10/16
Topic 5,0.116,01/17
Topic 4,0.296,07/11
Topic 4,0.308,10/11
Topic 4,0.302,01/12
Topic 4,0.306,04/12
Topic 4,0.29,07/12
Topic 4,0.294,10/12
Topic 4,0.34,01/13
Topic 4,0.382,04/13
Topic 4,0.337,07/13
Topic 4,0.293,10/13
Topic 4,0.318,01/14
Topic 4,0.296,04/14
Topic 4,0.291,07/14
Topic 4,0.297,10/14
Topic 4,0.308,01/15
Topic 4,0.299,04/15
Topic 4,0.302,07/15
Topic 4,0.326,10/15
Topic 4,0.318,01/16
Topic 4,0.332,04/16
Topic 4,0.36,07/16
Topic 4,0.349,10/16
Topic 4,0.349,01/17
Topic 3,0.061,07/11
Topic 3,0.071,10/11
Topic 3,0.072,01/12
Topic 3,0.069,04/12
Topic 3,0.081,07/12
Topic 3,0.076,10/12
Topic 3,0.077,01/13
Topic 3,0.081,04/13
Topic 3,0.078,07/13
Topic 3,0.066,10/13
Topic 3,0.055,01/14
Topic 3,0.069,04/14
Topic 3,0.07,07/14
Topic 3,0.063,10/14
Topic 3,0.076,01/15
Topic 3,0.083,04/15
Topic 3,0.109,07/15
Topic 3,0.088,10/15
Topic 3,0.068,01/16
Topic 3,0.058,04/16
Topic 3,0.083,07/16
Topic 3,0.07,10/16
Topic 3,0.07,01/17
Topic 2,0.052,07/11
Topic 2,0.031,10/11
Topic 2,0.047,01/12
Topic 2,0.035,04/12
Topic 2,0.049,07/12
Topic 2,0.038,10/12
Topic 2,0.047,01/13
Topic 2,0.043,04/13
Topic 2,0.051,07/13
Topic 2,0.055,10/13
Topic 2,0.057,01/14
Topic 2,0.063,04/14
Topic 2,0.075,07/14
Topic 2,0.075,10/14
Topic 2,0.048,01/15
Topic 2,0.05,04/15
Topic 2,0.057,07/15
Topic 2,0.06,10/15
Topic 2,0.054,01/16
Topic 2,0.046,04/16
Topic 2,0.048,07/16
Topic 2,0.049,10/16
Topic 2,0.049,01/17
Topic 1,0.156,07/11
Topic 1,0.157,10/11
Topic 1,0.149,01/12
Topic 1,0.137,04/12
Topic 1,0.134,07/12
Topic 1,0.131,10/12
Topic 1,0.124,01/13
Topic 1,0.132,04/13
Topic 1,0.108,07/13
Topic 1,0.126,10/13
Topic 1,0.133,01/14
Topic 1,0.153,04/14
Topic 1,0.147,07/14
Topic 1,0.13,10/14
Topic 1,0.128,01/15
Topic 1,0.135,04/15
Topic 1,0.124,07/15
Topic 1,0.118,10/15
Topic 1,0.137,01/16
Topic 1,0.163,04/16
Topic 1,0.143,07/16
Topic 1,0.139,10/16
Topic 1,0.139,01/17
