key,value,date
AR,0.1,07/11
AR,0.15,08/11
AR,0.35,09/11
AR,0.38,10/11
AR,0.22,11/11
AR,0.16,12/11
AR,0.07,01/12
AR,0.02,02/12
AR,0.17,03/12
AR,0.33,04/12
AR,0.4,05/12
AR,0.32,06/12
AR,0.26,07/12
AR,0.35,08/12
AR,0.4,09/12
AR,0.32,10/12
AR,0.26,11/12
AR,0.22,12/12
AR,0.16,01/13
AR,0.22,02/13
AR,0.1,03/13
AR,0.1,04/13
AR,0.15,05/13
AR,0.35,06/13
AR,0.38,07/13
AR,0.22,08/13
AR,0.16,09/13
AR,0.07,10/13
AR,0.02,11/13
AR,0.17,12/13
AR,0.33,01/14
AR,0.4,02/14
AR,0.32,03/14
AR,0.26,04/14
AR,0.35,05/14
AR,0.4,06/14
AR,0.32,07/14
AR,0.26,08/14
AR,0.22,09/14
AR,0.16,10/14
AR,0.22,11/14
AR,0.1,12/14
AR,0.1,01/15
AR,0.15,02/15
AR,0.35,03/15
AR,0.38,04/15
AR,0.22,05/15
AR,0.16,06/15
AR,0.07,07/15
AR,0.02,08/15
AR,0.17,09/15
AR,0.33,10/15
AR,0.4,11/15
AR,0.32,12/15
AR,0.26,01/16
AR,0.35,02/16
AR,0.4,03/16
AR,0.32,04/16
AR,0.26,05/16
AR,0.22,06/16
AR,0.16,07/16
AR,0.22,08/16
AR,0.1,09/16
AR,0.15,10/16
AR,0.35,11/16
AR,0.38,12/16
DJ,0.35,07/11
DJ,0.36,08/11
DJ,0.37,09/11
DJ,0.22,10/11
DJ,0.24,11/11
DJ,0.26,12/11
DJ,0.34,01/12
DJ,0.21,02/12
DJ,0.18,03/12
DJ,0.45,04/12
DJ,0.32,05/12
DJ,0.35,06/12
DJ,0.3,07/12
DJ,0.28,08/12
DJ,0.27,09/12
DJ,0.26,10/12
DJ,0.15,11/12
DJ,0.3,12/12
DJ,0.35,01/13
DJ,0.42,02/13
DJ,0.42,03/13
DJ,0.35,04/13
DJ,0.36,05/13
DJ,0.37,06/13
DJ,0.22,07/13
DJ,0.24,08/13
DJ,0.26,09/13
DJ,0.34,10/13
DJ,0.21,11/13
DJ,0.18,12/13
DJ,0.45,01/14
DJ,0.32,02/14
DJ,0.35,03/14
DJ,0.3,04/14
DJ,0.28,05/14
DJ,0.27,06/14
DJ,0.26,07/14
DJ,0.15,08/14
DJ,0.3,09/14
DJ,0.35,10/14
DJ,0.42,11/14
DJ,0.42,12/14
DJ,0.35,01/15
DJ,0.36,02/15
DJ,0.37,03/15
DJ,0.22,04/15
DJ,0.24,05/15
DJ,0.26,06/15
DJ,0.34,07/15
DJ,0.21,08/15
DJ,0.18,09/15
DJ,0.45,10/15
DJ,0.32,11/15
DJ,0.35,12/15
DJ,0.3,01/16
DJ,0.28,02/16
DJ,0.27,03/16
DJ,0.26,04/16
DJ,0.15,05/16
DJ,0.3,06/16
DJ,0.35,07/16
DJ,0.42,08/16
DJ,0.42,09/16
DJ,0.36,10/16
DJ,0.37,11/16
DJ,0.22,12/16
MS,0.21,07/11
MS,0.25,08/11
MS,0.27,09/11
MS,0.23,10/11
MS,0.24,11/11
MS,0.21,12/11
MS,0.35,01/12
MS,0.39,02/12
MS,0.4,03/12
MS,0.36,04/12
MS,0.33,05/12
MS,0.43,06/12
MS,0.4,07/12
MS,0.34,08/12
MS,0.28,09/12
MS,0.26,10/12
MS,0.37,11/12
MS,0.41,12/12
MS,0.46,01/13
MS,0.47,02/13
MS,0.41,03/13
MS,0.21,04/13
MS,0.25,05/13
MS,0.27,06/13
MS,0.23,07/13
MS,0.24,08/13
MS,0.21,09/13
MS,0.35,10/13
MS,0.39,11/13
MS,0.4,12/13
MS,0.36,01/14
MS,0.33,02/14
MS,0.43,03/14
MS,0.4,04/14
MS,0.34,05/14
MS,0.28,06/14
MS,0.26,07/14
MS,0.37,08/14
MS,0.41,09/14
MS,0.46,10/14
MS,0.47,11/14
MS,0.41,12/14
MS,0.21,01/15
MS,0.25,02/15
MS,0.27,03/15
MS,0.23,04/15
MS,0.24,05/15
MS,0.21,06/15
MS,0.35,07/15
MS,0.39,08/15
MS,0.4,09/15
MS,0.36,10/15
MS,0.33,11/15
MS,0.43,12/15
MS,0.4,01/16
MS,0.34,02/16
MS,0.28,03/16
MS,0.26,04/16
MS,0.37,05/16
MS,0.41,06/16
MS,0.46,07/16
MS,0.47,08/16
MS,0.41,09/16
MS,0.25,10/16
MS,0.27,11/16
MS,0.23,12/16
RC,0.1,07/11
RC,0.15,08/11
RC,0.35,09/11
RC,0.38,10/11
RC,0.22,11/11
RC,0.16,12/11
